"GeneSymbol","ModuleColor","ModuleLabel","kME_own","SelectionReason"
"TMEM268","turquoise",1,0.895691808070615,"kME_hubs_only"
"RNF175","turquoise",1,0.923470311543096,"kME_hubs_only"
"B4GAT1","turquoise",1,0.902965935934801,"kME_hubs_only"
"CREG2","turquoise",1,0.899907101545595,"kME_hubs_only"
"RIMBP2","turquoise",1,0.874946494152516,"kME_hubs_only"
"LCMT1","turquoise",1,0.851055152322644,"kME_hubs_only"
"SLC2A13","turquoise",1,0.891923501475422,"kME_hubs_only"
"WDR47","turquoise",1,0.888728249001257,"kME_hubs_only"
"ST6GALNAC5","turquoise",1,0.910386089935401,"kME_hubs_only"
"SAE1","turquoise",1,0.893988726202493,"kME_hubs_only"
"BEX2","turquoise",1,0.871794928429211,"kME_hubs_only"
"PNMAL1","turquoise",1,0.888971974819302,"kME_hubs_only"
"RAB3C","turquoise",1,0.853405771665031,"kME_hubs_only"
"MAP7D2","turquoise",1,0.891344216892466,"kME_hubs_only"
"KHDRBS3","turquoise",1,0.893973397249108,"kME_hubs_only"
"DLG2","turquoise",1,0.914387636449233,"kME_hubs_only"
"CADPS","turquoise",1,0.882680840068506,"kME_hubs_only"
"NUDT11","turquoise",1,0.925668530212848,"kME_hubs_only"
"CHN1","turquoise",1,0.899352667521221,"kME_hubs_only"
"ATAD1","blue",2,0.883433739020387,"kME_hubs_only"
"LZTFL1","turquoise",1,0.89873598576693,"kME_hubs_only"
"CDK5R1","turquoise",1,0.883247254756677,"kME_hubs_only"
"SCN2A","red",6,0.875004833585985,"kME_hubs_only"
"CD99L2","turquoise",1,0.869899112361285,"kME_hubs_only"
"BTBD10","turquoise",1,0.851003368297769,"kME_hubs_only"
"THY1","turquoise",1,0.867124284922396,"kME_hubs_only"
"SLC9A6","turquoise",1,0.910742914217379,"kME_hubs_only"
"MYO5A","turquoise",1,0.873730371150735,"kME_hubs_only"
"ATP6V1D","turquoise",1,0.886661849755425,"kME_hubs_only"
"C1orf216","turquoise",1,0.88644476800502,"kME_hubs_only"
"CDC42SE2","turquoise",1,0.889676511667618,"kME_hubs_only"
"REEP5","turquoise",1,0.878307909813214,"kME_hubs_only"
"CCDC85A","turquoise",1,0.926906839144298,"kME_hubs_only"
"AASDHPPT","turquoise",1,0.87467512911261,"kME_hubs_only"
"ERC2","turquoise",1,0.8797208273198,"kME_hubs_only"
"C11orf87","turquoise",1,0.852919311398923,"kME_hubs_only"
"ARHGEF3","turquoise",1,0.871997450738138,"kME_hubs_only"
"ATP6AP2","blue",2,0.879908680856562,"kME_hubs_only"
"KIF1BP","blue",2,0.851838372509694,"kME_hubs_only"
"PREPL","turquoise",1,0.879898545829122,"kME_hubs_only"
"CBLN4","turquoise",1,0.898009453053325,"kME_hubs_only"
"STYK1","turquoise",1,0.895311812014477,"kME_hubs_only"
"PLCB1","turquoise",1,0.887387427684442,"kME_hubs_only"
"LDB2","turquoise",1,0.90891025373103,"kME_hubs_only"
"VBP1","blue",2,0.888216565295595,"kME_hubs_only"
"KIF21A","turquoise",1,0.855453387016012,"kME_hubs_only"
"CHM","turquoise",1,0.878745790195724,"kME_hubs_only"
"DDX1","blue",2,0.866117487888855,"kME_hubs_only"
"OPA1","turquoise",1,0.894020313820996,"kME_hubs_only"
"UBQLN2","turquoise",1,0.861917438230451,"kME_hubs_only"
"STMN2","red",6,0.872932305021524,"kME_hubs_only"
"COX7A2","blue",2,0.852355440657105,"kME_hubs_only"
"VSTM2L","turquoise",1,0.892447376965007,"kME_hubs_only"
"NDUFB5","turquoise",1,0.869009424787759,"kME_hubs_only"
"TRO","turquoise",1,0.872836705046298,"kME_hubs_only"
"UBE2E2","turquoise",1,0.921254717045942,"kME_hubs_only"
"GDA","turquoise",1,0.869617801322002,"kME_hubs_only"
"CDH15","yellow",4,0.895965502613437,"kME_hubs_only"
"SMAP2","turquoise",1,0.891157768729986,"kME_hubs_only"
"C3orf14","turquoise",1,0.879507543533889,"kME_hubs_only"
"TUBB3","turquoise",1,0.850185729345716,"kME_hubs_only"
"QPCT","turquoise",1,0.867885445891528,"kME_hubs_only"
"SLC17A6","turquoise",1,0.881204377053449,"kME_hubs_only"
"KLHL42","turquoise",1,0.85625658993759,"kME_hubs_only"
"HMP19","turquoise",1,0.863749877504202,"kME_hubs_only"
"KCNQ3","turquoise",1,0.883036991119351,"kME_hubs_only"
"CERKL","yellow",4,0.855262158511883,"kME_hubs_only"
"ZIC4","yellow",4,0.903046808075348,"kME_hubs_only"
"TCEAL7","turquoise",1,0.853430096052771,"kME_hubs_only"
