logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
0.247706859036087,0.0105894845337687,18.7231554805123,8.63803125293173e-59,1.0587671405442e-56,123.070432809314,IQGAP1
0.24875030166772,0.0746759836372591,18.708386574596,1.0121844351777e-58,1.23196294365509e-56,122.912766656935,RREB1
0.242542587655249,0.0281702822783726,18.706890872387,1.02856422269328e-58,1.24320557610948e-56,122.896800188058,CD302
-0.258280918979946,-0.0703637900107066,-18.6638340298953,1.63265498684935e-58,1.95974896869744e-56,122.437249958912,DUSP2
0.242076823637928,0.15111350414561,18.6491537441556,1.91115488368599e-58,2.26283338439147e-56,122.280600105042,RPS27P4
-0.268885969354681,-0.117699810619486,-18.6465052291822,1.96623575985123e-58,2.31231982433856e-56,122.252340306404,C1QTNF4
0.461560049570637,-0.0845538540235546,18.6397210426902,2.11467039148607e-58,2.45372254425433e-56,122.179955294817,TLR2
0.380166131385164,0.100070303289079,18.6268825223671,2.42690098809917e-58,2.77896129591224e-56,122.042982929589,HIF3A
0.220164131932814,0.055320128540257,18.6199333099606,2.61470755502617e-58,2.97444346374056e-56,121.968848443771,EFNA4
0.468071445019846,0.00519596163169165,18.6159060717569,2.73012261184958e-58,3.08557039345727e-56,121.925887532568,MT1X
-0.42865515298276,-0.212402872976017,-18.5942696533918,3.44314600256712e-58,3.81706727227266e-56,121.695102297044,SCG2
-0.321286914596917,-0.182940154965525,-18.5749007464763,4.23792486603837e-58,4.66842292996189e-56,121.488536793197,NETO2
-0.216303093730922,-0.105384848914347,-18.5666148423415,4.6316440316447e-58,5.00706610998609e-56,121.400178955575,PLEKHB2
-0.225797797860694,-0.0999473823618844,-18.5531145982296,5.35292809114061e-58,5.71581063965045e-56,121.256229788798,UBLCP1
0.373261174035053,-0.00490073070171306,18.5506133636101,5.4983990471212e-58,5.83534362287466e-56,121.229561556715,EDG3
-0.334158667539489,-0.142830697706424,-18.5195769002006,7.66852077754672e-58,7.99225174450303e-56,120.898694514281,CDK5R2
0.296660539082345,0.0289020902107066,18.5053189576293,8.93450688566344e-58,9.14735837323366e-56,120.746724257301,TPD52L1
-0.361736918196403,-0.151092322595289,-18.5004678839028,9.41123479055761e-58,9.57909599588628e-56,120.695022438197,MAL2
0.354366839312429,0.117133752452677,18.496276155835,9.84358829718049e-58,9.9033326192154e-56,120.650349449368,FAM107A
-0.224641166160242,-0.104060839329764,-18.4868587252582,1.08887104409451e-57,1.0891839380727e-55,120.54998956853,TCEAL5
-0.411417427072741,-0.220844934785408,-18.4877427054948,1.14953032193429e-57,1.14329001447236e-55,120.496669425624,ZCCHC12
0.275330259868295,0.04598187148394,18.4672963581228,1.34275604431663e-57,1.32037677691136e-55,120.341541750823,STOM
0.210166171626971,0.0626428616282655,18.461248521027,1.4326292830742e-57,1.40083779055654e-55,120.277105528429,MGA
0.27938374313837,0.0194774428554604,18.4197999355653,2.23321116031884e-57,2.15939112474164e-55,119.835582156772,LHFPL2
0.423379336018085,-0.0348031914175589,18.3730499786483,3.68387453515472e-57,3.48466501545478e-55,119.337772317221,VSIG4
0.210269852906101,0.0245586949678801,18.3673977888441,3.91363407177275e-57,3.68198924428133e-55,119.277599310347,PLCE1
-0.429264208355309,-0.150111082247537,-18.3601297512929,4.23024333927595e-57,3.95846157634935e-55,119.200228353971,EGR1
-0.323083265321141,-0.198946193775161,-18.357930149281,4.33101497209128e-57,4.031086395147e-55,119.176813731394,PVRL3
-0.221276591085,-0.129997960258458,-18.3551067309399,4.46388916000194e-57,4.13265908669329e-55,119.146759276653,MDH2
0.442074910321387,0.108173792865953,18.3210533244365,6.42649595773164e-57,5.88700853391153e-55,118.784328901875,IFITM3
-0.424031190149741,-0.209076021770878,-18.3160057424293,6.7831054173379e-57,6.18114920360032e-55,118.730616668676,GNG3
0.204206931486642,0.0537954057899358,18.299275633621,8.11260078334185e-57,7.31605267534015e-55,118.552605616481,SERTAD3
0.205640867842551,0.0636060121817987,18.2870210608234,9.24890195188232e-57,8.29779064291297e-55,118.422231693172,ZBTB16
-0.304235302658906,-0.19705080764454,-18.2810500636415,9.85886531801959e-57,8.79966927487851e-55,118.358712601462,GNB5
0.304853096213064,-0.00230106332826552,18.2728803372523,1.07590759121891e-56,9.50567087571838e-55,118.271809042153,CHST3
0.238536380071172,0.0348926858436831,18.2614289908635,1.21607788570416e-56,1.06360982917994e-54,118.150008698096,CARD6
0.254580623800492,-0.018601854124197,18.2520383731732,1.34453655160147e-56,1.16426162590167e-54,118.050136291701,C6orf145
0.284614599661869,0.0637116696972163,18.2253582771036,1.78837443104977e-56,1.52581651825594e-54,117.766430607562,LATS2
-0.336142823593424,-0.114523186668094,-18.2240483744258,1.81359398297777e-56,1.53978552554771e-54,117.752503383918,CCKBR
-0.267775880862686,-0.0717847711627409,-18.2137912339105,2.02376194343573e-56,1.70988236046111e-54,117.64345256462,SLC30A3
0.222855042715962,0.0296844536475803,18.1908539905725,2.58601422433217e-56,2.15356830500007e-54,117.399627768377,RELA
0.286535269162479,0.0665277258430407,18.1771303664666,2.99449397227382e-56,2.48186512321075e-54,117.253769128192,CEBPB
-0.277223991638688,-0.182033716486081,-18.1365555503174,4.61942345575194e-56,3.77469789893721e-54,116.8226370972,PTP4A1
0.316517885498829,0.0201002271783726,18.1086802974869,6.22136919074158e-56,5.01309864652117e-54,116.526540826933,TGIF
-0.249500809428138,-0.123721693724197,-18.1063787137194,6.37617558503161e-56,5.11416295195738e-54,116.502096458545,ATPIF1
0.220689700692397,0.0558923671027837,18.0959558234,7.12683488422262e-56,5.69002574127957e-54,116.391405055667,PHF19
-0.245824223939859,-0.127245891547537,-18.0928293682335,7.36876642392225e-56,5.85631870357839e-54,116.358204155521,NIPSNAP1
0.473491745085515,-0.0386812777318009,18.0757752289561,8.84038588600156e-56,6.96230390705236e-54,116.177117897933,MAFF
0.378252719821547,-0.0231683477122056,18.0728368659311,9.12209306254138e-56,7.15180314205103e-54,116.145920422896,HSD11B2
0.236704228780679,0.0929490729933619,18.0669435733754,9.71441631346151e-56,7.58203658904922e-54,116.083352243108,SMOX
-0.51926632145993,-0.275323664369165,-18.0469753866383,1.20221150751149e-55,9.29977390588333e-54,115.871379578945,CRYM
-0.382462647699793,-0.189667521507495,-18.0451417115543,1.22597085259475e-55,9.44160295991661e-54,115.851916224636,NAP1L5
0.233380270172898,0.0611910296059957,18.0423713835065,1.26275938214713e-55,9.66386598401837e-54,115.822511523006,BAZ2A
0.346226403725555,-0.0684485471019272,18.0381838673233,1.32047163000852e-55,9.99252553056451e-54,115.778066067544,C21orf62
-0.226632088849697,-0.154112309415203,-18.0358175060598,1.35424249307074e-55,1.01636492229719e-53,115.752950787015,EBNA1BP2
